Date,spot,fx_return
,,
2009-01-31,0.6384880542755127,
2009-02-28,0.6422194838523865,0.005827154169700477
2009-03-31,0.6918021440505981,0.07436987530956773
2009-04-30,0.7266914248466492,0.04920194169149661
2009-05-31,0.8010253310203552,0.09739063338895135
2009-06-30,0.8061915636062622,0.0064288154217268245
2009-07-31,0.8356313109397888,0.035866113951260936
2009-08-31,0.8428860306739807,0.008644253745713704
2009-09-30,0.8837825655937195,0.047379311927812875
2009-10-31,0.9009820818901062,0.019274304636193812
2009-11-30,0.9175995588302612,0.018275714532325738
2009-12-31,0.898311197757721,-0.021244531372061795
2010-01-31,0.8843296766281128,-0.01568662318052426
2010-02-28,0.8958967924118042,0.012995288824087986
2010-03-31,0.9155831933021545,0.021736012670836566
2010-04-30,0.9248127341270447,0.01003003545352274
2010-05-31,0.8465966582298279,-0.08836688662877723
2010-06-30,0.8413259983062744,-0.006245164177030527
2010-07-31,0.9044044613838196,0.07229745674945895
2010-08-31,0.8918219804763794,-0.014010134162404042
2010-09-30,0.9693679809570312,0.08337775390675459
2010-10-31,0.9727626442909241,0.0034958171678758435
2010-11-30,0.9607070684432983,-0.012470567294753057
2010-12-31,1.0157749652862549,0.055737569760238165
2011-01-31,0.9873617887496948,-0.028370586525665653
2011-02-28,1.01449716091156,0.02711183453185621
2011-03-31,1.0319172143936157,0.017025363461076422
2011-04-30,1.093900442123413,0.05833125108436899
2011-05-31,1.070297122001648,-0.021813402274810906
2011-06-30,1.0692671537399292,-0.0009627832666281033
2011-07-31,1.1000010967254639,0.02833766605319815
2011-08-31,1.0676004886627197,-0.029897580558055484
2011-09-30,0.9764671921730042,-0.08922772286380398
2011-10-31,1.0673953294754028,0.0890355358944381
2011-11-30,1.0018032789230347,-0.06341975433195461
2011-12-31,1.0140959024429321,0.012195824075227697
2012-01-31,1.05860435962677,0.042953919685142
2012-02-29,1.0799602270126343,0.019972814889879613
2012-03-31,1.0374951362609863,-0.04011492844734027
2012-04-30,1.0456314086914062,0.007811636623006192
2012-05-31,0.9704968333244324,-0.07456806110397506
2012-06-30,1.0033713579177856,0.03331282694194207
2012-07-31,1.0498688220977783,0.04529953739793038
2012-08-31,1.0280978679656982,-0.0209548602266287
2012-09-30,1.0437650680541992,0.015124068735051774
2012-10-31,1.0366023778915405,-0.006886012833426679
2012-11-30,1.0429377555847168,0.006093075282896675
2012-12-31,1.039198637008667,-0.003591621191409121
2013-01-31,1.0418837070465088,0.0025804567853334667
2013-02-28,1.0232272148132324,-0.018068762906912773
2013-03-31,1.0418294668197632,0.018016701781189585
2013-04-30,1.0344042778015137,-0.007152586449575338
2013-05-31,0.9669309854507446,-0.06745383983275663
2013-06-30,0.9281604290008545,-0.04092252923195249
2013-07-31,0.9072763323783875,-0.02275752386076285
2013-08-31,0.8926180005073547,-0.016288351694612888
2013-09-30,0.9301460981369019,0.04118295021208791
2013-10-31,0.9470324516296387,0.017991691843205364
2013-11-30,0.9084302186965942,-0.041615284896872114
2013-12-31,0.8919811248779297,-0.018273103621033293
2014-01-31,0.8795848488807678,-0.013994938383614389
2014-02-28,0.8961697816848755,0.01867984999008082
2014-03-31,0.9260116219520569,0.032756901759746215
2014-04-30,0.9274716973304749,0.0015754937368385458
2014-05-31,0.9310986995697021,0.003903007224900598
2014-06-30,0.9417082667350769,0.011330244767128156
2014-07-31,0.9325748682022095,-0.0097460950890495
2014-08-31,0.9355412125587463,0.0031757628770151397
2014-09-30,0.8716875910758972,-0.07069410618723054
2014-10-31,0.8824567198753357,0.012278652369454551
2014-11-30,0.8524422645568848,-0.034604262966361266
2014-12-31,0.818397581577301,-0.04075722243317911
2015-01-31,0.7782101631164551,-0.05035163933150469
2015-02-28,0.780579149723053,0.0030395235724909875
2015-03-31,0.7658140659332275,-0.01909673730473843
2015-04-30,0.7994883060455322,0.04303249907498974
2015-05-31,0.7658140659332275,-0.04303249907498974
2015-06-30,0.767283022403717,0.0019163260190142584
2015-07-31,0.7294477820396423,-0.050567947605799246
2015-08-31,0.7140816450119019,-0.02129048036213571
2015-09-30,0.7003781795501709,-0.019376858900781446
2015-10-31,0.7090187072753906,0.012261465964177098
2015-11-30,0.7183908224105835,0.013131830243616638
2015-12-31,0.7284913063049316,0.013961950005998647
2016-01-31,0.7086167335510254,-0.027660884772487626
2016-02-29,0.7128092050552368,0.005898982912586503
2016-03-31,0.7661073803901672,0.07210855318127601
2016-04-30,0.7634170055389404,-0.0035179270766877435
2016-05-31,0.7195797562599182,-0.059137046369980795
2016-06-30,0.7469933032989502,0.03738885055257851
2016-07-31,0.751258373260498,0.005693411259624748
2016-08-31,0.7524454593658447,0.0015788831898869704
2016-09-30,0.7628347277641296,0.013712884638270806
2016-10-31,0.7598206996917725,-0.00395891539816956
2016-11-30,0.7484470009803772,-0.015082089609030569
2016-12-31,0.7234842777252197,-0.033921579400528645
2017-01-31,0.7565441131591797,0.044682028722946965
2017-02-28,0.7676364183425903,0.014555363733922133
2017-03-31,0.7655209302902222,-0.002759650725773777
2017-04-30,0.746720016002655,-0.024866253077771905
2017-05-31,0.7459346652030945,-0.0010522874204165755
2017-06-30,0.7685213685035706,0.029830351850238523
2017-07-31,0.7985944747924805,0.03838490792628435
2017-08-31,0.7907013297080994,-0.009932965228031804
2017-09-30,0.7846275568008423,-0.007711155499983774
2017-10-31,0.7697636485099792,-0.019125637518292493
2017-11-30,0.7566586136817932,-0.017171338702481886
2017-12-31,0.7794293165206909,0.029649827374743948
2018-01-31,0.8101101517677307,0.03860822184324733
2018-02-28,0.7793624997138977,-0.03869395081120605
2018-03-31,0.768580436706543,-0.013931052792476445
2018-04-30,0.7575184106826782,-0.01449738303396464
2018-05-31,0.7571169137954712,-0.0005301565203482683
2018-06-30,0.7346459031105042,-0.030129066447872277
2018-07-31,0.7407297492027283,0.008247229193847683
2018-08-31,0.7261636853218079,-0.019860396557533966
2018-09-30,0.7205129861831665,-0.007812012161758974
2018-10-31,0.7099247574806213,-0.014804450085929177
2018-11-30,0.7321876883506775,0.03087789690569076
2018-12-31,0.7044734358787537,-0.0385862616647199
2019-01-31,0.7254682779312134,0.029366722664301625
2019-02-28,0.7148473858833313,-0.01474827335135842
2019-03-31,0.7083156108856201,-0.009179301142860752
2019-04-30,0.7055171132087708,-0.003958744600991382
2019-05-31,0.6906077861785889,-0.021358968445022886
2019-06-30,0.7003781795501709,0.014048386252441036
2019-07-31,0.6875215172767639,-0.01852731874957758
2019-08-31,0.673582136631012,-0.02048318358484269
2019-09-30,0.6760868430137634,0.0037115904653789444
2019-10-31,0.6897883415222168,0.020063265327782354
2019-11-30,0.6769000291824341,-0.01886120448994366
2019-12-31,0.7001398801803589,0.03375654928292304
2020-01-31,0.6708257794380188,-0.04277068381322369
2020-02-29,0.6580203175544739,-0.019273651505173017
2020-03-31,0.6168993711471558,-0.06452989175155699
2020-04-30,0.6555013060569763,0.06069437882151085
2020-05-31,0.6633498668670654,0.011902258004106936
2020-06-30,0.6871907711029053,0.035309387204277454
2020-07-31,0.7203676700592041,0.047149793661995676
2020-08-31,0.7373000383377075,0.023233182461731783
2020-09-30,0.714360237121582,-0.03160754810409927
2020-10-31,0.7037599682807922,-0.014950025015577406
2020-11-30,0.7400281429290771,0.05025087258693517
2020-12-31,0.7689290642738342,0.03831050467334779
2021-01-31,0.7669699192047119,-0.0025511393037654373
2021-02-28,0.7870000004768372,0.025780667193417817
2021-03-31,0.7608798146247864,-0.03375283448184885
2021-04-30,0.777762234210968,0.021945451374191627
2021-05-31,0.7710099816322327,-0.008719546090803665
2021-06-30,0.7513599991798401,-0.025816423156779456
2021-07-31,0.739609956741333,-0.015761934912909614
2021-08-31,0.7291233539581299,-0.014280034241745843
2021-09-30,0.7179998159408569,-0.015373614814989722
2021-10-31,0.7531600594520569,0.04780845486663671
2021-11-30,0.714580237865448,-0.05258247717839071
2021-12-31,0.7249801754951477,0.014449019949537067
2022-01-31,0.6997998356819153,-0.03534996520984168
2022-02-28,0.7186489701271057,0.026578673803844044
2022-03-31,0.7503001093864441,0.04310025341175311
2022-04-30,0.710883617401123,-0.05396454454316496
2022-05-31,0.7195202112197876,0.012075888780091137
2022-06-30,0.6880465745925903,-0.044728085308011645
2022-07-31,0.7000839710235596,0.017343755183168663
2022-08-31,0.6857398152351379,-0.020702008755159595
2022-09-30,0.6512998938560486,-0.051528075118971395
2022-10-31,0.6401310563087463,-0.017297271707404194
2022-11-30,0.668408989906311,0.04322731564804644
2022-12-31,0.6766000390052795,0.01218006747501349
2023-01-31,0.7058099508285522,0.042265695798186675
2023-02-28,0.6743001937866211,-0.045670606663924196
2023-03-31,0.6716818809509277,-0.0038905661338446973
2023-04-30,0.6630398035049438,-0.01294981315976329
2023-05-31,0.6517800092697144,-0.01712792794034429
2023-06-30,0.6619710922241211,0.015514791752531287
2023-07-31,0.6660805344581604,0.006188698191292252
2023-08-31,0.6478782296180725,-0.027707824402136205
2023-09-30,0.6427974700927734,-0.007873063343028286
2023-10-31,0.637100100517273,-0.008902911198947039
2023-11-30,0.6619009971618652,0.03818920674253934
2023-12-31,0.6826302409172058,0.030837344398143562
