Date,actual_fx_change,uip_implied_change,uip_deviation
2009-03-31,0.0743698753095677,-0.0025666666666666,-0.0769365419762343
2009-05-31,0.0973906333889513,-0.0023833333333333,-0.0997739667222846
2010-05-31,-0.0883668866287772,-0.0035999999999999,0.0847668866287772
2010-07-31,0.0722974567494589,-0.0036333333333333,-0.0759307900827922
2010-09-30,0.0833777539067545,-0.0036333333333333,-0.0870110872400878
2011-09-30,-0.0892277228638039,-0.0039416666666666,0.0852860561971372
2011-10-31,0.0890355358944381,-0.0039416666666666,-0.0929772025611047
2012-05-31,-0.074568061103975,-0.0031166666666666,0.0714513944373083
2014-09-30,-0.0706941061872305,-0.0020666666666666,0.0686274395205638
2016-03-31,0.072108553181276,-0.0015166666666666,-0.0736252198479426
